id,name,alpha,beta_r,eta_col,xi_reb,z_A0_eff,mode,description,theta
1,W1_healthy,1.0,1.0,1.0,1.0,0.9,closed_loop,"Healthy plant, all parameters nominal.","[1.0, 1.0, 1.0, 1.0, 0.8999999761581421]"
2,W2_cat_decay,0.65,1.0,1.0,1.0,0.9,closed_loop,Severe catalyst decay (alpha=0.65). Reaction rate drops 35%.,"[0.6499999761581421, 1.0, 1.0, 1.0, 0.8999999761581421]"
3,W3_rxr_fouling,1.0,0.65,1.0,1.0,0.9,closed_loop,Severe CSTR jacket fouling (beta_r=0.65). UA reduced to 65%.,"[1.0, 0.6499999761581421, 1.0, 1.0, 0.8999999761581421]"
4,W4_col_tray_eff,1.0,1.0,0.7,1.0,0.9,closed_loop,Column tray efficiency loss (eta_col=0.70). Separation degraded.,"[1.0, 1.0, 0.699999988079071, 1.0, 0.8999999761581421]"
5,W5_reb_starve,1.0,1.0,1.0,0.65,0.9,closed_loop,Reboiler duty reduction (xi_reb=0.65). Under-separation at bottom.,"[1.0, 1.0, 1.0, 0.6499999761581421, 0.8999999761581421]"
6,W6_feed_lean,1.0,1.0,1.0,1.0,0.75,closed_loop,"Feed composition shift lean (z_A0=0.75, A-lean by 15%).","[1.0, 1.0, 1.0, 1.0, 0.75]"
7,W7_feed_rich,1.0,1.0,1.0,1.0,0.95,closed_loop,"Feed composition shift rich (z_A0=0.95, A-rich by 5%).","[1.0, 1.0, 1.0, 1.0, 0.949999988079071]"
8,W8_mild_cat,0.8,1.0,1.0,1.0,0.9,closed_loop,Moderate catalyst decay (alpha=0.80). Early-stage degradation.,"[0.800000011920929, 1.0, 1.0, 1.0, 0.8999999761581421]"
9,W9_mild_fouling,1.0,0.8,1.0,1.0,0.9,closed_loop,Moderate jacket fouling (beta_r=0.80). Early-stage fouling.,"[1.0, 0.800000011920929, 1.0, 1.0, 0.8999999761581421]"
10,W10_mild_col,1.0,1.0,0.8,1.0,0.9,closed_loop,Moderate column degradation (eta_col=0.80).,"[1.0, 1.0, 0.800000011920929, 1.0, 0.8999999761581421]"
11,W11_snowball,0.65,1.0,0.75,1.0,0.9,closed_loop,"Snowball scenario: catalyst decay (alpha=0.65) reduces conversion, column degrades (eta_col=0.75), recycle builds up.","[0.6499999761581421, 1.0, 0.75, 1.0, 0.8999999761581421]"
12,W12_rxr_combined,0.75,0.75,1.0,1.0,0.9,closed_loop,Combined reactor faults: kinetic decay + jacket fouling.,"[0.75, 0.75, 1.0, 1.0, 0.8999999761581421]"
13,W13_col_combined,1.0,1.0,0.7,0.75,0.9,closed_loop,Combined column faults: tray efficiency + reboiler starvation.,"[1.0, 1.0, 0.699999988079071, 0.75, 0.8999999761581421]"
14,W14_feed_cat,0.75,1.0,1.0,1.0,0.78,closed_loop,Feed composition shift + catalyst decay (confounded diagnosis).,"[0.75, 1.0, 1.0, 1.0, 0.7799999713897705]"
15,W15_severe_multi,0.6,0.7,0.7,1.0,0.9,closed_loop,Severe multi-unit: reactor kinetics + fouling + column degradation.,"[0.6000000238418579, 0.699999988079071, 0.699999988079071, 1.0, 0.8999999761581421]"
16,W16_mild_all,0.9,0.9,0.9,0.9,0.87,closed_loop,Mild uniform degradation across all units — hardest to classify.,"[0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8700000047683716]"
101,W1_healthy_ol,1.0,1.0,1.0,1.0,0.9,open_loop,"Healthy plant, open-loop (PI temperature loop bypassed).","[1.0, 1.0, 1.0, 1.0, 0.8999999761581421]"
102,W2_cat_decay_ol,0.65,1.0,1.0,1.0,0.9,open_loop,"Catalyst decay, open-loop.","[0.6499999761581421, 1.0, 1.0, 1.0, 0.8999999761581421]"
103,W3_rxr_fouling_ol,1.0,0.65,1.0,1.0,0.9,open_loop,"CSTR jacket fouling, open-loop.","[1.0, 0.6499999761581421, 1.0, 1.0, 0.8999999761581421]"
104,W4_col_tray_eff_ol,1.0,1.0,0.7,1.0,0.9,open_loop,"Column tray efficiency loss, open-loop.","[1.0, 1.0, 0.699999988079071, 1.0, 0.8999999761581421]"
105,W5_reb_starve_ol,1.0,1.0,1.0,0.65,0.9,open_loop,"Reboiler starvation, open-loop.","[1.0, 1.0, 1.0, 0.6499999761581421, 0.8999999761581421]"
111,W11_snowball_ol,0.65,1.0,0.75,1.0,0.9,open_loop,"Snowball scenario, open-loop.","[0.6499999761581421, 1.0, 0.75, 1.0, 0.8999999761581421]"
115,W15_severe_multi_ol,0.6,0.7,0.7,1.0,0.9,open_loop,"Severe multi-unit fault, open-loop.","[0.6000000238418579, 0.699999988079071, 0.699999988079071, 1.0, 0.8999999761581421]"
