tuning,scenario,param,true,mean,std,MAE,bias,cov90,is_fault
arbitrary (nb26 as-published),W11,alpha,0.800000011920929,0.9040432730997134,0.0030181873462880285,0.10404326117878453,0.10404326117878453,0.0,fault
arbitrary (nb26 as-published),W11,beta_r,0.800000011920929,0.9870627149791679,0.0027495301403531805,0.18706270305823894,0.18706270305823894,0.0,fault
arbitrary (nb26 as-published),W11,eta_col,1.0,1.0,0.0,0.0,0.0,1.0,nominal (sanity check)
arbitrary (nb26 as-published),W12,alpha,0.75,0.8573178790940812,0.0031446931028525434,0.10731787909408112,0.10731787909408112,0.0,fault
arbitrary (nb26 as-published),W12,beta_r,1.0,1.0466186730723268,0.002466940154261961,0.0466186730723269,0.0466186730723269,0.0,nominal (sanity check)
arbitrary (nb26 as-published),W12,eta_col,0.800000011920929,1.0,0.0,0.19999998807907104,0.19999998807907104,0.0,fault
arbitrary (nb26 as-published),W15,alpha,0.5799999833106995,0.7262387724469351,0.0032047457873190938,0.14623878913623567,0.14623878913623567,0.0,fault
arbitrary (nb26 as-published),W15,beta_r,1.0,1.0657134822477137,0.0022964606888773954,0.06571348224771394,0.06571348224771394,0.0,nominal (sanity check)
arbitrary (nb26 as-published),W15,eta_col,0.8999999761581421,1.0,0.0,0.10000002384185791,0.10000002384185791,0.0,fault
"honest-protocol (healthy-data R, prior-bound P0)",W11,alpha,0.800000011920929,0.7973086154702334,0.005484946726170228,0.004753814608201723,-0.002691396450695656,1.0,fault
"honest-protocol (healthy-data R, prior-bound P0)",W11,beta_r,0.800000011920929,0.8022221616978492,0.009552017559028635,0.007843818668075183,0.0022221497769203827,1.0,fault
"honest-protocol (healthy-data R, prior-bound P0)",W11,eta_col,1.0,1.0,0.0,0.0,0.0,1.0,nominal (sanity check)
"honest-protocol (healthy-data R, prior-bound P0)",W12,alpha,0.75,0.7890742588689378,0.006910898648482057,0.0390742588689378,0.0390742588689378,0.0,fault
"honest-protocol (healthy-data R, prior-bound P0)",W12,beta_r,1.0,1.0729473879879994,0.01735804750315892,0.0729473879879993,0.0729473879879993,0.0,nominal (sanity check)
"honest-protocol (healthy-data R, prior-bound P0)",W12,eta_col,0.800000011920929,1.0,0.0,0.19999998807907104,0.19999998807907104,1.0,fault
"honest-protocol (healthy-data R, prior-bound P0)",W15,alpha,0.5799999833106995,0.5813214334885742,0.0063005479252982366,0.004845724511026295,0.001321450177874713,1.0,fault
"honest-protocol (healthy-data R, prior-bound P0)",W15,beta_r,1.0,0.9953713823679481,0.024179461111099365,0.020330398819141893,-0.00462861763205186,0.8,nominal (sanity check)
"honest-protocol (healthy-data R, prior-bound P0)",W15,eta_col,0.8999999761581421,1.0,0.0,0.10000002384185791,0.10000002384185791,1.0,fault
"oracle (nb27 diffuse, fault-informed)",W11,alpha,0.800000011920929,0.7997882233222924,0.0050662972562890525,0.0042145314873135295,-0.00021178859863641987,1.0,fault
"oracle (nb27 diffuse, fault-informed)",W11,beta_r,0.800000011920929,0.8026270740920921,0.010157042516434605,0.00890010819139806,0.0026270621711633377,1.0,fault
"oracle (nb27 diffuse, fault-informed)",W11,eta_col,1.0,1.0,0.0,0.0,0.0,1.0,nominal (sanity check)
"oracle (nb27 diffuse, fault-informed)",W12,alpha,0.75,0.7956053846295001,0.005165194800609137,0.04560538462950021,0.04560538462950021,0.0,fault
"oracle (nb27 diffuse, fault-informed)",W12,beta_r,1.0,1.070095874473244,0.01673782974942608,0.07009587447324407,0.07009587447324407,0.0,nominal (sanity check)
"oracle (nb27 diffuse, fault-informed)",W12,eta_col,0.800000011920929,1.0,0.0,0.19999998807907104,0.19999998807907104,1.0,fault
"oracle (nb27 diffuse, fault-informed)",W15,alpha,0.5799999833106995,0.5909259792078878,0.004975835531464481,0.010925995897188234,0.010925995897188234,0.4666666666666667,fault
"oracle (nb27 diffuse, fault-informed)",W15,beta_r,1.0,1.0012404819742549,0.018661864758834693,0.01659143865719911,0.001240481974255192,1.0,nominal (sanity check)
"oracle (nb27 diffuse, fault-informed)",W15,eta_col,0.8999999761581421,1.0,0.0,0.10000002384185791,0.10000002384185791,1.0,fault
