seed,draw,parameter,rank_frac,truth,sample_mean,sample_sd
0,0,alpha,0.685,0.7027767896652222,0.6986402273178101,0.009236493147909641
0,0,beta_r,0.435,0.8738349080085754,0.8778759837150574,0.018719904124736786
0,0,eta_col,0.34,0.6773703098297119,0.6788498163223267,0.0038049316499382257
0,0,xi_reb,0.475,0.4169670641422272,0.41704612970352173,0.0013928789412602782
0,0,z_A0_eff,0.685,0.8019052743911743,0.7972790598869324,0.008379792794585228
0,1,alpha,0.34,0.8927000761032104,0.8989744782447815,0.013847434893250465
0,1,beta_r,0.55,0.4552282989025116,0.45323172211647034,0.011249490082263947
0,1,eta_col,0.01,0.5825845003128052,0.590723991394043,0.003536917269229889
0,1,xi_reb,0.885,1.1789520978927612,1.1742538213729858,0.003916244488209486
0,1,z_A0_eff,0.495,0.7125993371009827,0.7136734127998352,0.011026871390640736
0,2,alpha,0.66,0.43803149461746216,0.43489110469818115,0.00911212619394064
0,2,beta_r,0.435,0.4781215190887451,0.48179930448532104,0.0176371019333601
0,2,eta_col,0.605,0.7839192152023315,0.7823180556297302,0.010913875885307789
0,2,xi_reb,0.285,0.7150644659996033,0.7163314819335938,0.0025575358886271715
0,2,z_A0_eff,0.67,0.7291436195373535,0.7255998849868774,0.010513713583350182
0,3,alpha,0.99,0.8153698444366455,0.792258083820343,0.011172563768923283
0,3,beta_r,0.985,0.4202210605144501,0.4018687307834625,0.008317476138472557
0,3,eta_col,0.615,0.6440844535827637,0.6430442333221436,0.0038874323945492506
0,3,xi_reb,0.45,1.0425195693969727,1.0430725812911987,0.0037678941152989864
0,3,z_A0_eff,0.995,0.9485695362091064,0.9231278896331787,0.011057570576667786
0,4,alpha,0.945,0.8825433850288391,0.8758814930915833,0.004114360082894564
0,4,beta_r,0.7,0.5874300003051758,0.5832921862602234,0.007679450791329145
0,4,eta_col,0.15,0.5820223093032837,0.5858283638954163,0.00344868958927691
0,4,xi_reb,0.69,1.1510982513427734,1.1493961811065674,0.004291361663490534
0,4,z_A0_eff,0.915,0.878659188747406,0.8733367919921875,0.003869883483275771
0,5,alpha,0.84,0.4471173882484436,0.4408535063266754,0.0065029519610106945
0,5,beta_r,0.72,0.7024301886558533,0.6912292242050171,0.021523689851164818
0,5,eta_col,0.4,0.8600300550460815,0.8648694753646851,0.01590205542743206
0,5,xi_reb,0.05,0.6772881746292114,0.6820316314697266,0.002616123529151082
0,5,z_A0_eff,0.725,0.8438702821731567,0.839672863483429,0.007701744791120291
0,6,alpha,0.985,0.8979101181030273,0.8831849098205566,0.006538841873407364
0,6,beta_r,0.955,1.0474931001663208,1.001543641090393,0.028363866731524467
0,6,eta_col,0.985,0.7855408191680908,0.7705919146537781,0.005228835623711348
0,6,xi_reb,0.045,0.7785181999206543,0.7866708636283875,0.0045859189704060555
0,6,z_A0_eff,0.995,0.7927814722061157,0.7796739935874939,0.005397127475589514
0,7,alpha,0.67,0.88371741771698,0.8783959150314331,0.010369387455284595
0,7,beta_r,0.445,0.764351487159729,0.7646801471710205,0.015123586170375347
0,7,eta_col,0.715,0.9557961225509644,0.9516859650611877,0.011263971216976643
0,7,xi_reb,0.075,1.1047358512878418,1.1133173704147339,0.005277549847960472
0,7,z_A0_eff,0.46,0.9152278900146484,0.9155404567718506,0.010860053822398186
0,8,alpha,0.86,1.018296480178833,0.9950934052467346,0.020962418988347054
0,8,beta_r,0.895,0.6279361844062805,0.6046597361564636,0.01855902560055256
0,8,eta_col,0.8,0.521160364151001,0.517737627029419,0.0040063257329165936
0,8,xi_reb,0.255,0.515180766582489,0.5163151621818542,0.0018642186187207699
0,8,z_A0_eff,0.855,0.7885207533836365,0.7721365094184875,0.01447886973619461
0,9,alpha,0.9,0.5311331748962402,0.5187559127807617,0.00942638423293829
0,9,beta_r,0.88,1.0828863382339478,1.0309343338012695,0.044305939227342606
0,9,eta_col,0.155,0.6620426177978516,0.6695094108581543,0.007865780964493752
0,9,xi_reb,0.41,0.6673201322555542,0.6678318977355957,0.002256917068734765
0,9,z_A0_eff,0.93,0.9244202375411987,0.9083145260810852,0.011468740180134773
0,10,alpha,0.565,0.6929727792739868,0.6922271847724915,0.006782590877264738
0,10,beta_r,0.72,1.012804627418518,1.0010265111923218,0.021383607760071754
0,10,eta_col,0.415,0.7933700084686279,0.7943464517593384,0.005132728256285191
0,10,xi_reb,0.76,1.070155382156372,1.067272424697876,0.003433574689552188
0,10,z_A0_eff,0.76,0.7345634698867798,0.7300398349761963,0.006668922491371632
0,11,alpha,0.42,1.0950719118118286,1.096422553062439,0.006159374024719
0,11,beta_r,0.26,0.8455485105514526,0.8519213199615479,0.009045028127729893
0,11,eta_col,0.095,0.5916694402694702,0.5962695479393005,0.0037766804452985525
0,11,xi_reb,0.73,1.1778322458267212,1.1753580570220947,0.004012346733361483
0,11,z_A0_eff,0.625,0.9105016589164734,0.9087831974029541,0.004530961159616709
0,12,alpha,0.075,1.0670764446258545,1.071946382522583,0.0033468108158558607
0,12,beta_r,0.2,0.583610475063324,0.5876806378364563,0.005715645849704742
0,12,eta_col,0.75,0.8563224077224731,0.8542291522026062,0.003025176702067256
0,12,xi_reb,0.1,0.9875767230987549,0.9910888671875,0.003137814113870263
0,12,z_A0_eff,0.065,0.719657301902771,0.7224640846252441,0.0017947317101061344
0,13,alpha,0.705,0.5282289981842041,0.5249603390693665,0.007165399845689535
0,13,beta_r,0.84,0.6708518266677856,0.6559656262397766,0.015970619395375252
0,13,eta_col,0.575,0.931180477142334,0.9300729632377625,0.011450563557446003
