seed,parameter,mean,std
0,alpha,0.52325,0.3295734422646246
0,beta_r,0.5429999999999999,0.27437060842814553
0,eta_col,0.51875,0.2730003052501346
0,xi_reb,0.37687499999999996,0.2764140509527375
0,z_A0_eff,0.53325,0.3272898621194275
1,alpha,0.585375,0.30450966786050127
1,beta_r,0.5663750000000001,0.2922700443872992
1,eta_col,0.6056250000000001,0.29734980587059756
1,xi_reb,0.472625,0.27769654047132747
1,z_A0_eff,0.591125,0.3164172178773316
2,alpha,0.587875,0.29380764573493945
2,beta_r,0.56175,0.30837986481876706
2,eta_col,0.47837500000000005,0.24604144819678092
2,xi_reb,0.52325,0.30216855119838887
2,z_A0_eff,0.5591250000000001,0.2709098807012001
3,alpha,0.64525,0.28550214422833037
3,beta_r,0.63975,0.2658005566161138
3,eta_col,0.596375,0.27991754165861976
3,xi_reb,0.54325,0.29646755778754746
3,z_A0_eff,0.57325,0.2857795232297722
4,alpha,0.56075,0.3303233652665606
4,beta_r,0.46349999999999997,0.3079235669397896
4,eta_col,0.500625,0.3158143472407119
4,xi_reb,0.28112499999999996,0.29390711837376315
4,z_A0_eff,0.48562500000000003,0.31506854667288525
5,alpha,0.5988749999999999,0.2863687050925961
5,beta_r,0.534375,0.30878211449300175
5,eta_col,0.535625,0.2802063971432487
5,xi_reb,0.6212500000000001,0.2892291922351989
5,z_A0_eff,0.549625,0.30357989591724976
6,alpha,0.520875,0.30570198220338207
6,beta_r,0.521625,0.3061284033848776
6,eta_col,0.555875,0.27320483416341007
6,xi_reb,0.50125,0.2927385067484859
6,z_A0_eff,0.50875,0.3085631506656586
7,alpha,0.57475,0.28440885611368966
7,beta_r,0.62575,0.2635739326047209
7,eta_col,0.580375,0.26374372638060645
7,xi_reb,0.453,0.30127038711736365
7,z_A0_eff,0.590625,0.2862068184874671
